id,Name,Nationality,Club,Score,International_reputation
4090,K. Danso,Austria,Southampton,71,1
4091,M. Spielmann,Switzerland,BSC Young Boys,71,1
4092,Bremer,Brazil,Torino,71,1
4093,H. Bandé,Burkina Faso,Ajax,71,1
4094,G. Bouzoukis,Greece,Panathinaikos FC,71,1
4095,J. Paintsil,Ghana,KRC Genk,71,1
4096,L. Vera,Argentina,Club Atlético Lanús,71,1
4097,Álex Díez,Spain,Extremadura UD,71,1
4098,N. Moro,Croatia,Dinamo Zagreb,71,1
4099,Kikas,Portugal,Os Belenenses,71,1
4100,Douglas Augusto,Brazil,PAOK,71,1
4101,B. Kapustka,Poland,Leicester City,71,1
4102,L. Suárez,Argentina,Villarreal CF,71,1
4103,E. Amor,Argentina,Vélez Sarsfield,71,1
4104,S. Abdullahi,Nigeria,1. FC Union Berlin,71,1
4105,P. Köpke,Germany,Hertha BSC,71,1
4106,Matheus Pereira,Brazil,Juventus,71,1
4107,N. Dorsch,Germany,1. FC Heidenheim 1846,71,1
4108,J. Harrison,United Kingdom,Leeds United,71,1
4109,C. Eiting,Netherlands,Ajax,71,1
4110,F. Jensen,Finland,FC Augsburg,71,1
4111,K. Bonifazi,Italy,Torino,71,1
4112,Guilherme Schettine,Brazil,Santa Clara,71,1
4113,D. Muñoz,Colombia,Atlético Nacional,71,1
4114,J. Chabot,Germany,Sampdoria,71,1
4115,J. Álvarez,Argentina,Club Atlético Banfield,71,1
4116,S. Moutoussamy,France,FC Nantes,71,1
4117,M. Vrousai,Greece,Willem II,71,1
4118,H. Reed,United Kingdom,Fulham,71,1
4119,C. Nørgaard,Denmark,Brentford,71,1
4120,K. Acosta,United States,Colorado Rapids,71,1
4121,J. Marriott,United Kingdom,Derby County,71,1
4122,M. Valjent,Slovakia,RCD Mallorca,71,1
4123,David Raya,Spain,Brentford,71,1
4124,R. Coly,Senegal,OGC Nice,71,1
4125,F. Tănase,Romania,FCSB (Steaua),71,1
4126,J. Rodríguez,Argentina,Club Atlético Banfield,71,1
4127,O. Oularé,Belgium,Standard de Liège,71,1
4128,G. Pușcaș,Romania,Reading,71,1
4129,O. Boscagli,France,PSV,71,1
4130,O. Estupiñán,Colombia,Denizlispor,71,1
4131,E. Remedi,Argentina,Atlanta United,71,1
4132,Lazo,Spain,Getafe CF,71,1
4133,J. Elías,Argentina,Unión de Santa Fe,71,1
4134,Diogo Gonçalves,Portugal,Famalicão,71,1
4135,B. Trawally,Gambia,Al Shabab,71,1
4136,Lourency,Brazil,Gil Vicente FC,71,1
4137,Murilo,Brazil,FC Paços de Ferreira,71,1
4138,B. Özcan,Turkey,Hamburger SV,71,1
4139,A. Chatzigiovanis,Greece,Panathinaikos FC,71,1
4140,L. Štulac,Slovenia,Empoli,71,1
4141,K. Letica,Croatia,Club Brugge KV,71,1
4142,Luquinhas,Brazil,Legia Warszawa,71,1
4143,B. Alıcı,Turkey,Çaykur Rizespor,71,1
4144,J. Valencia,Ecuador,Brentford,71,1
4145,Rui Silva,Portugal,Granada CF,71,1
4146,L. Baker,United Kingdom,Fortuna Düsseldorf,71,1
4147,C. O'Dowda,Ireland,Bristol City,71,1
4148,B. Guillaume,Belgium,Valenciennes FC,71,1
4149,J. Castelletto,Cameroon,Stade Brestois 29,71,1
4150,Gumbau,Spain,Girona FC,71,1
4151,A. Schlager,Austria,LASK Linz,71,1
4152,M. Zaccagni,Italy,Hellas Verona,71,1
4153,M. Manotas,Colombia,Houston Dynamo,71,1
4154,Rúben Lameiras,Portugal,Famalicão,71,1
4155,Hwang Hee Chan,South Korea,FC Red Bull Salzburg,71,1
4156,J. Siebatcheu,France,Stade Rennais FC,71,1
4157,S. Findlay,United Kingdom,Kilmarnock,71,1
4158,A. Castro,Argentina,Defensa y Justicia,71,1
4159,D. Cools,Belgium,Club Brugge KV,71,1
4160,S. Amallah,Belgium,Standard de Liège,71,1
4161,Jordi Calavera,Spain,SD Eibar,71,1
4162,F. Centonze,France,FC Metz,71,1
4163,C. De Norre,Belgium,KRC Genk,71,1
4164,J. Lucumi,Colombia,Querétaro,71,1
4165,Miguelón,Spain,SD Huesca,71,1
4166,R. Kristensen,Denmark,FC Red Bull Salzburg,71,1
4167,I. Sacko,France,OGC Nice,71,1
4168,L. Agbenyenu,Ghana,RCD Mallorca,71,1
4169,S. Lobjanidze,Georgia,Randers FC,71,1
4170,O. Kiteishvili,Georgia,SK Sturm Graz,71,1
4171,H. Weydandt,Germany,Hannover 96,71,1
4172,B. Angulo,Ecuador,Cruz Azul,71,1
4173,A. Briseño,Mexico,Guadalajara,71,1
4174,P. Bauer,Germany,Preston North End,71,1
4175,R. Woods,United Kingdom,Stoke City,71,1
4176,A. Trondsen,Norway,Rosenborg BK,71,1
4177,M. Pérez,Mexico,Guadalajara,71,1
4178,N. Ninković,Serbia,Ascoli,71,1
4179,P. Frankowski,Poland,Chicago Fire,71,1
4180,S. Maguire,Ireland,Preston North End,71,1
4181,P. Onuachu,Nigeria,FC Midtjylland,71,1
4182,D. Kinsombi,Germany,Hamburger SV,71,1
4183,T. Kleindienst,Germany,SC Freiburg,71,1
4184,R. Loaiza,Colombia,Defensa y Justicia,71,1
4185,P. Mwene,Austria,1. FSV Mainz 05,71,1
4186,J. Zimmer,Germany,Fortuna Düsseldorf,71,1
4187,S. Uçan,Turkey,Alanyaspor,71,1
4188,G. Lajud,Mexico,Club Tijuana,71,1
4189,J. Ledesma,Argentina,Rosario Central,71,1
4190,J. Gómez,Argentina,Club Atlético Lanús,71,1
4191,G. Piovi,Argentina,Defensa y Justicia,71,1
4192,J. Pohjanpalo,Finland,Bayer 04 Leverkusen,71,1
4193,D. Milošević,Bosnia and Herzegovina,Atiker Konyaspor,71,1
4194,L. Mousset,France,Sheffield United,71,1
4195,A. Traoré,Mali,AS Monaco,71,1
4196,P. Stojanović,Slovenia,Dinamo Zagreb,71,1
4197,J. Morris,United States,Seattle Sounders FC,71,1
4198,C. Larin,Canada,SV Zulte-Waregem,71,1
4199,Brian Oliván,Spain,Cádiz CF,71,1
4200,G. Prömel,Germany,1. FC Union Berlin,71,1
4201,G. Holtmann,Germany,SC Paderborn 07,71,1
4202,F. Bandinelli,Italy,Empoli,71,1
4203,Jon Bautista,Spain,KAS Eupen,71,1
4204,M. Barbieri,Argentina,Rosario Central,71,1
4205,N. Leguizamón,Argentina,Club Atlético Colón,71,1
4206,A. D'Alberto,Belgium,Moreirense FC,71,1
4207,Artur,Brazil,Columbus Crew SC,71,1
4208,J. Lefort,France,Amiens SC,71,1
4209,M. Bero,Slovakia,Vitesse,71,1
4210,M. Bokadi,DR Congo,Standard de Liège,71,1
4211,M. Kaye,Canada,Los Angeles FC,71,1
4212,M. Okugawa,Japan,FC Red Bull Salzburg,71,1
4213,F. Gorriarán,Uruguay,Santos Laguna,71,1
4214,André Pereira,Portugal,Vitória Guimarães,71,1
4215,A. Vallci,Austria,FC Red Bull Salzburg,71,1
4216,Diego Caballo,Spain,Deportivo de La Coruña,71,1
4217,U. Ćosić,Serbia,AEK Athens,71,1
4218,J. Joronen,Finland,Brescia,71,1
4219,O. Omoijuanfo,Norway,Molde FK,71,1
4220,D. Bisoli,Italy,Brescia,71,1
4221,J. Murphy,United Kingdom,Sheffield Wednesday,71,1
4222,K. Stewart,United Kingdom,Hull City,71,1
4223,M. Tanković,Sweden,Hammarby IF,71,1
4224,Jonatan Lucca,Brazil,Os Belenenses,71,1
4225,D. Lenihan,Ireland,Blackburn Rovers,71,1
4226,E. Hestad,Norway,Molde FK,71,1
4227,Tobias Figueiredo,Portugal,Nottingham Forest,71,1
4228,A. Zaldívar,Mexico,Monterrey,71,1
4229,L. Villalba,Argentina,Club Atlético Aldosivi,71,1
4230,E. Godoy,Argentina,Vancouver Whitecaps FC,71,1
4231,J. Cooper,United Kingdom,Millwall,71,1
4232,J. Abella,Mexico,Santos Laguna,71,1
4233,J. Arzura,Argentina,Club Atlético Huracán,71,1
4234,Kang Hyeon Mu,South Korea,Pohang Steelers,71,1
4235,L. Di Plácido,Argentina,Club Atlético Lanús,71,1
4236,G. Jung,Germany,Hamburger SV,71,1
4237,H. Belkebla,Algeria,Stade Brestois 29,71,1
4238,A. Kamara,France,Fulham,71,1
4239,K. Ehizibue,Netherlands,1. FC Köln,71,1
4240,K. Mrabti,Sweden,Birmingham City,71,1
4241,P. Stenzel,Germany,VfB Stuttgart,71,1
4242,Nadjack,Guinea-Bissau,Rio Ave FC,71,1
4243,C. Songkrasin,Thailand,Hokkaido Consadole Sapporo,71,1
4244,P. Burner,France,OGC Nice,71,1
4245,Y. Toyokawa,Japan,KAS Eupen,71,1
4246,P. Haring,Austria,Heart of Midlothian,71,1
4247,A. Rrahmani,Kosovo,Hellas Verona,71,1
4248,Vítor Tormena,Brazil,SC Braga,71,1
4249,M. Hašek,Czech Republic,Sparta Praha,71,1
4250,E. Zelazny,France,Stade Malherbe Caen,71,1
4251,S. Bain,United Kingdom,Celtic,71,1
4252,B. Wright,Australia,Bristol City,71,1
4253,T. Ciğerci,Turkey,Fenerbahçe SK,71,2
4254,C. Christie,Ireland,Fulham,71,1
4255,A. Milošević,Sweden,Nottingham Forest,71,1
4256,A. Taggart,Australia,Suwon Samsung Bluewings,71,1
4257,C. Nyman,Sweden,IFK Norrköping,71,1
4258,J. Blaswich,Germany,Heracles Almelo,71,1
4259,I. Tandia,Mali,Al Hazem,71,1
4260,O. Petrák,Czech Republic,1. FC Nürnberg,71,1
4261,Adryan,Brazil,FC Sion,71,1
4262,Ruiz de Galarreta,Spain,UD Las Palmas,71,1
4263,A. Lozano,Honduras,Girona FC,71,1
4264,L. Antei,Italy,Benevento,71,1
4265,J. Price,United Kingdom,Colorado Rapids,71,1
4266,J. Wallace,United Kingdom,Millwall,71,1
4267,Marcos Júnior,Brazil,Yokohama F. Marinos,71,1
4268,M. Schuhen,Germany,SV Darmstadt 98,71,1
4269,F. Malbašić,Serbia,CD Tenerife,71,1
4270,T. Pledl,Germany,Fortuna Düsseldorf,71,1
4271,A. Henríquez,Chile,Universidad de Chile,71,1
4272,R. Kishna,Netherlands,Lazio,71,2
4273,A. Callens,Peru,New York City FC,71,1
4274,S. Kerk,Germany,1. FC Nürnberg,71,1
4275,J. Cabot,France,FC Lorient,71,1
4276,I. Tajouri-Shradi,Libya,New York City FC,71,1
4277,Bressan,Brazil,FC Dallas,71,1
4278,R. Carrascal,Colombia,América de Cali,71,1
4279,J. Rodríguez,Colombia,Once Caldas,71,1
4280,M. Rodríguez,Chile,U.N.A.M.,71,1
4281,A. Sagal,Chile,FC Juárez,71,1
4282,F. Pizzini,Argentina,Independiente,71,1
4283,P. Mainka,Germany,1. FC Heidenheim 1846,71,1
4284,A. Pantic,Serbia,Dynamo Kyiv,71,1
4285,H. Palacios,Colombia,Atlético Nacional,71,1
4286,J. Gradit,France,Stade Malherbe Caen,71,1
4287,W. Kanon,Cote d'Ivoire,ADO Den Haag,71,1
4288,J. Cabral,Argentina,Atlético Tucumán,71,1
4289,L. Zingerle,Germany,SC Paderborn 07,71,1
4290,B. Schmitz,Germany,1. FC Köln,71,1
4291,W. Hahn,Netherlands,SC Heerenveen,71,1
4292,G. Bettini,Argentina,Club Atlético Huracán,71,1
4293,Afonso Figueiredo,Portugal,CD Aves,71,1
4294,Carraça,Portugal,Boavista FC,71,1
4295,E. Berggreen,Denmark,FC Twente,71,1
4296,J. de Wijs,Netherlands,Hull City,71,1
4297,Y. Barbet,France,Queens Park Rangers,71,1
4298,E. Burgos,Argentina,SD Eibar,71,1
4299,S. Davis,United States,New York Red Bulls,71,1
4300,J. Galván,Argentina,Argentinos Juniors,71,1
4301,H. Wahl,Germany,Holstein Kiel,71,1
4302,J. Šimunović,Bosnia and Herzegovina,Celtic,71,1
4303,W. Endo,Japan,VfB Stuttgart,71,1
4304,R. Oshima,Japan,Kawasaki Frontale,71,1
4305,G. Fofana,France,En Avant de Guingamp,71,1
4306,Y. Salmier,France,ESTAC Troyes,71,1
4307,Artur Jorge,Portugal,Vitória de Setúbal,71,1
4308,B. Țîru,Romania,FC Viitorul,71,1
4309,P. Tsintotas,Greece,AEK Athens,71,1
4310,J. Arias,Uruguay,Club Atlético Banfield,71,1
4311,D. Kolovetsios,Greece,Panathinaikos FC,71,1
4312,A. Preciado,Ecuador,Santos Laguna,71,1
4313,B. Barišić,Croatia,Rangers FC,71,1
4314,Felipe Curcio,Brazil,Brescia,71,1
4315,Fernando Andrade,Brazil,Sivasspor,71,1
4316,João Lucas,Portugal,Santa Clara,71,1
4317,F. Mrzljak,Croatia,Dinamo Bucureşti,71,1
4318,P. Cucchi,Argentina,Atlético Nacional,71,1
4319,G. Makaridze,Georgia,Vitória de Setúbal,71,1
4320,H. Dean,United Kingdom,Birmingham City,71,1
4321,D. Batth,United Kingdom,Stoke City,71,1
4322,K. Zohore,Denmark,West Bromwich Albion,71,1
4323,Raúl Lizoain,Spain,AD Alcorcón,71,1
4324,S. Lletget,United States,LA Galaxy,71,1
4325,B. Afobe,DR Congo,Bristol City,71,1
4326,B. Wood,United States,Hamburger SV,71,1
4327,Javier Espinosa,Spain,FC Twente,71,1
4328,S. van de Streek,Netherlands,FC Utrecht,71,1
4329,S. Ajayi,Nigeria,West Bromwich Albion,71,1
4330,F. Ceccherini,Italy,Fiorentina,71,1
4331,P. Faragò,Italy,Cagliari,71,1
4332,Koo Ja Ryong,South Korea,Suwon Samsung Bluewings,71,1
4333,L. Galeano,Argentina,Club Atlético Aldosivi,71,1
4334,A. Niane,Mali,Sporting de Charleroi,71,1
4335,S. Decarli,Switzerland,VfL Bochum 1848,71,1
4336,R. López,Mexico,Pachuca,71,1
4337,Helton Leite,Brazil,Boavista FC,71,1
4338,M. Herrera,Argentina,Defensa y Justicia,71,1
4339,S. Silva,Chile,Coquimbo Unido,71,1
4340,A. Çalık,Turkey,Galatasaray SK,71,1
4341,N. Oroz,Argentina,Universidad de Chile,71,1
4342,A. Oğuz,Turkey,Gençlerbirliği SK,71,1
4343,C. Yambéré,Central African Republic,Ettifaq FC,71,1
4344,Kim Seung Joon,South Korea,Gyeongnam FC,71,1
4345,R. Bajić,Bosnia and Herzegovina,Atiker Konyaspor,71,1
4346,Jadson,Brazil,Portimonense SC,71,1
4347,M. Mohammadi,Iran,CD Aves,71,1
4348,J. Bostock,United Kingdom,Nottingham Forest,71,1
4349,H. González,Mexico,Club Necaxa,71,1
4350,V. Kadlec,Czech Republic,Sparta Praha,71,1
4351,J. Kirchhoff,Germany,KFC Uerdingen 05,71,1
4352,L. Thy,Germany,PEC Zwolle,71,1
4353,J. Siebenhandl,Austria,SK Sturm Graz,71,1
4354,T. Lees,United Kingdom,Sheffield Wednesday,71,1
4355,Pelé,Guinea-Bissau,Reading,71,1
4356,Dani Jiménez,Spain,AD Alcorcón,71,1
4357,M. Peybernès,France,UD Almería,71,1
4358,D. Burn,United Kingdom,Brighton & Hove Albion,71,1
4359,C. Avevor,Germany,FC St. Pauli,71,1
4360,J. Zelený,Czech Republic,SK Slavia Praha,71,1
4361,K. Lamprou,Greece,Vitesse,71,1
4362,T. Darikwa,Zimbabwe,Nottingham Forest,71,1
4363,M. te Wierik,Netherlands,FC Groningen,71,1
4364,B. Pawłowski,Poland,Gazişehir Gaziantep F.K.,71,1
4365,T. Barkhuizen,United Kingdom,Preston North End,71,1
4366,G. Wikheim,Norway,FC Midtjylland,71,1
4367,Erik Morán,Spain,AEK Athens,71,1
4368,A. Khalili,Sweden,Kasimpaşa SK,71,1
4369,William,Brazil,Al Faisaly,71,1
4370,J. Risdon,Australia,Western United FC,71,1
4371,O. Vranješ,Bosnia and Herzegovina,AEK Athens,71,1
4372,U. Đerić,Serbia,Gyeongnam FC,71,1
4373,M. Bianchetti,Italy,US Cremonese,71,1
4374,L. Krajnc,Slovenia,Frosinone,71,1
4375,Dener,Brazil,Portimonense SC,71,1
4376,P. Terracciano,Italy,Fiorentina,71,1
4377,I. Kiese Thelin,Sweden,RSC Anderlecht,71,1
4378,S. Dursun,Germany,SV Darmstadt 98,71,1
4379,F. Fragapane,Argentina,Club Atlético Talleres,71,1
4380,J. Botaka,DR Congo,Sint-Truidense VV,71,1
4381,S. Longo,Italy,Deportivo de La Coruña,71,1
4382,L. Kübler,Germany,SC Freiburg,71,1
4383,S. Hedlund,Sweden,Brøndby IF,71,1
4384,S. Holmén,Sweden,Willem II,71,1
4385,S. Magnasco,Chile,Universidad Católica,71,1
4386,D. Linsmayer,Germany,SV Sandhausen,71,1
4387,L. Quintana,Mexico,U.N.A.M.,71,1
4388,M. Alaa,Egypt,Egypt,71,1
4389,F. Calvo,Costa Rica,Chicago Fire,71,1
4390,Kim Jin Su,South Korea,Jeonbuk Hyundai Motors,71,1
4391,R. Schüller,Finland,Minnesota United FC,71,1
4392,M. Cuero,Colombia,Club Atlas,71,1
4393,L. Díaz,Argentina,Atlético Tucumán,71,1
4394,J. Garro,Argentina,Club Atlético Huracán,71,1
4395,E. Rescaldani,Argentina,Arsenal de Sarandí,71,1
4396,M. Meli,Argentina,Central Córdoba,71,1
4397,F. Mussis,Argentina,Gimnasia y Esgrima La Plata,71,1
4398,J. Hugill,United Kingdom,Queens Park Rangers,71,1
4399,J. Correa,Argentina,Clube Sport Marítimo,71,1
4400,Son Jun Ho,South Korea,Jeonbuk Hyundai Motors,71,1
4401,R. Mirzov,Russia,Spartak Moscow,71,1
4402,L. Hoyos,Argentina,Vélez Sarsfield,71,1
4403,W. Montoya,Argentina,Racing Club,71,1
4404,Eber Bessa,Brazil,Vitória de Setúbal,71,1
4405,K. Kerschbaumer,Austria,FC Ingolstadt 04,71,1
4406,J. Meneses,Chile,Club León,71,1
4407,S. Doi,Japan,Kashima Antlers,71,1
4408,Neris,Brazil,Boavista FC,71,1
4409,Alberto Benito,Spain,Albacete BP,71,1
4410,Ângelo Neto,Brazil,Al Fayha,71,1
4411,B. Johnsen,Norway,AZ Alkmaar,71,1
4412,C. Ganea,Romania,Athletic Club de Bilbao,71,1
4413,Y. Makarenko,Ukraine,RSC Anderlecht,71,1
4414,N. Bancu,Romania,Universitatea Craiova,71,1
4415,K. Eissa,United Arab Emirates,Al Ain FC,71,1
4416,A. Espino,Uruguay,Cádiz CF,71,1
4417,N. Rimando,United States,Real Salt Lake,71,1
4418,T. Howard,United States,Colorado Rapids,71,3
4419,J. Wiland,Sweden,Hammarby IF,71,1
4420,O. Deschacht,Belgium,SV Zulte-Waregem,71,1
4421,I. de Camargo,Belgium,KV Mechelen,71,2
4422,J. Poulsen,Denmark,FC Midtjylland,71,1
4423,A. Turan,Turkey,Atiker Konyaspor,71,1
4424,E. Hallfreðsson,Iceland,Udinese,71,2
4425,M. Liendl,Austria,Wolfsberger AC,71,1
4426,G. Lux,Argentina,River Plate,71,2
4427,B. Cesar,Slovenia,Chievo Verona,71,2
4428,F. Boeckx,Belgium,RSC Anderlecht,71,1
4429,S. Silva,Uruguay,Argentinos Juniors,71,1
4430,D. Marshall,United Kingdom,Wigan Athletic,71,1
4431,C. Araujo,Argentina,Club Atlético Huracán,71,1
4432,J. Gutiérrez,Argentina,Club Atlético Banfield,71,2
4433,M. Demir,Turkey,Medipol Başakşehir FK,71,1
4434,E. Albayrak,Turkey,Júbilo Iwata,71,1
4435,Tito,Spain,Rayo Vallecano,71,1
4436,Seoane,Spain,CD Lugo,71,1
4437,Susaeta,Spain,Albacete BP,71,1
4438,M. Stefani,Italy,Pordenone,71,1
4439,M. Caligiuri,Germany,SpVgg Greuther Fürth,71,1
4440,J. Perbet,France,Sporting de Charleroi,71,1
4441,A. Tettey,Norway,Norwich City,71,1
4442,A. Mureșan,Romania,CFR Cluj,71,1
4443,C. Săpunaru,Romania,Denizlispor,71,2
4444,P. Pentke,Germany,TSG 1899 Hoffenheim,71,1
4445,C. Berra,United Kingdom,Heart of Midlothian,71,1
4446,A. Song,Cameroon,FC Sion,71,3
4447,U. Hünemeier,Germany,SC Paderborn 07,71,1
4448,C. Campestrini,Argentina,CD Everton de Viña del Mar,71,1
4449,T. Kessler,Germany,1. FC Köln,71,1
4450,J. Ménez,France,Club América,71,3
4451,N. Ortigoza,Paraguay,Rosario Central,71,1
4452,E. Culio,Argentina,CFR Cluj,71,1
4453,R. Pasveer,Netherlands,Vitesse,71,1
4454,P. Gallagher,United Kingdom,Preston North End,71,1
4455,R. Keogh,Ireland,Derby County,71,1
4456,G. Gillet,Belgium,Racing Club de Lens,71,2
4457,D. Graham,United Kingdom,Blackburn Rovers,71,2
4458,C. Obasi,Nigeria,AIK,71,2
4459,A. Federici,Australia,Stoke City,71,1
4460,G. Dicker,Ireland,Kilmarnock,71,1
4461,F. Gago,Argentina,Vélez Sarsfield,71,3
4462,J. Torres Nilo,Mexico,Tigres U.A.N.L.,71,1
4463,N. Bendtner,Denmark,Rosenborg BK,71,2
4464,H. Goitom,Eritrea,AIK,71,1
4465,Carmona,Spain,Real Sporting de Gijón,71,1
4466,M. Madl,Austria,FK Austria Wien,71,1
4467,U. Emanuelson,Netherlands,FC Utrecht,71,1
4468,M. Ardemagni,Italy,Ascoli,71,1
4469,M. Mancosu,Italy,Lecce,71,1
4470,D. Dessena,Italy,Brescia,71,2
4471,A. Barillà,Italy,Parma,71,1
4472,Feng Xiaoting,China,Guangzhou Evergrande Taobao FC,71,1
4473,K. Steppe,Belgium,Sint-Truidense VV,71,1
4474,S. Kljestan,United States,Orlando City SC,71,2
4475,Jung Sung Ryong,South Korea,Kawasaki Frontale,71,2
4476,J. Domínguez,Mexico,Cruz Azul,71,1
4477,L. Baal,France,Stade Brestois 29,71,2
4478,A. Matri,Italy,Sassuolo,71,2
4479,T. Derijck,Belgium,KAA Gent,71,1
4480,F. Rodríguez,Mexico,Atlético de San Luis,71,1
4481,A. Costa,Italy,Benevento,71,1
4482,R. Faty,Senegal,MKE Ankaragücü,71,1
4483,R. Boffin,Belgium,Antalyaspor,71,1
4484,C. Mulgrew,United Kingdom,Wigan Athletic,71,1
4485,J. García,Argentina,Racing Club,71,1
4486,B. Capon,Belgium,KV Oostende,71,1
4487,William,Brazil,Deportivo Toluca,71,1
4488,T. Elphick,United Kingdom,Huddersfield Town,71,1
4489,A. Hloušek,Czech Republic,Viktoria Plzeň,71,1
4490,A. Gerndt,Sweden,FC Lugano,71,1
4491,Léo Silva,Brazil,Kashima Antlers,71,1
4492,S. Williams,Ireland,Millwall,71,1
4493,Zeng Cheng,China,Guangzhou Evergrande Taobao FC,71,2
4494,Denis,Brazil,Gil Vicente FC,71,1
4495,K. Barbarouses,New Zealand,Sydney FC,71,1
4496,G. Berardi,Switzerland,Leeds United,71,1
4497,R. Kruse,Australia,Melbourne Victory,71,1
4498,M. Mavraj,Albania,SpVgg Greuther Fürth,71,2
4499,Y. Benalouane,Tunisia,Nottingham Forest,71,1
4500,D. González,Colombia,Independiente Medellín,71,1
4501,P. Oniangué,Congo Republic,Stade Malherbe Caen,71,2
4502,Rui Fonte,Portugal,Fulham,71,2
4503,E. Terranova,Italy,US Cremonese,71,1
4504,M. Waghorn,United Kingdom,Derby County,71,1
4505,C. Yacob,Argentina,Nottingham Forest,71,2
4506,J. Faussurier,France,Stade Brestois 29,71,1
4507,B. Angulo,Colombia,Puebla FC,71,1
4508,N. De Pauw,Belgium,Çaykur Rizespor,71,1
4509,Go Yo Han,South Korea,FC Seoul,71,1
4510,O. Şişmanoğlu,Germany,Yeni Malatyaspor,71,1
4511,J. Rhodes,United Kingdom,Sheffield Wednesday,71,1
4512,Antoñito,Spain,Real Valladolid CF,71,1
4513,D. Kuciak,Slovakia,Lechia Gdańsk,71,1
4514,E. Conde,Uruguay,Club Atlético Banfield,71,1
4515,S. de Jong,Netherlands,Ajax,71,2
4516,F. Đorđević,Serbia,Chievo Verona,71,2
4517,G. Cameron,United States,Queens Park Rangers,71,2
4518,Raúl Fernández,Spain,UD Las Palmas,71,1
4519,A. Jansen,Netherlands,FC Emmen,71,1
4520,O. Alanís,Mexico,Guadalajara,71,1
4521,L. Fuentes,Mexico,Club Tijuana,71,1
4522,O. Čelůstka,Czech Republic,Antalyaspor,71,1
4523,A. Kravets,Ukraine,Kayserispor,71,1
4524,J. McLaughlin,United Kingdom,Sunderland,71,1
4525,A. Diomande,Norway,Los Angeles FC,71,1
4526,G. Friend,United Kingdom,Middlesbrough,71,1
4527,Felipe,Brazil,Hannover 96,71,1
4528,R. van La Parra,Netherlands,Huddersfield Town,71,1
4529,M. Morrison,United Kingdom,Reading,71,1
4530,A. Costa,Argentina,Atlético Nacional,71,2
4531,G. Belaud,France,Stade Brestois 29,71,1
4532,S. Burchert,Germany,SpVgg Greuther Fürth,71,1
4533,J. Murphy,United Kingdom,Rangers FC,71,1
4534,M. Caire,Argentina,Gimnasia y Esgrima La Plata,71,1
4535,T. Torun,Turkey,Medipol Başakşehir FK,71,1
4536,G. Angella,Italy,Udinese,71,1
4537,C. Toselli,Chile,Universidad Católica,71,1
4538,G. Litteri,Italy,Cosenza,71,1
4539,N. Baker,United Kingdom,Bristol City,71,1
4540,A. Nahuelpan,Argentina,Club Tijuana,71,1
4541,H. Afful,Ghana,Columbus Crew SC,71,1
4542,B. Salamon,Poland,SPAL,71,1
4543,B. Koita,Guinea,Kasimpaşa SK,71,1
4544,G. Scognamiglio,Italy,Pescara,71,1
4545,M. van der Werff,Netherlands,FC Cincinnati,71,1
4546,D. Sorgić,Serbia,AJ Auxerre,71,1
4547,A. Tetteh,Ghana,Gazişehir Gaziantep F.K.,71,1
4548,M. Samassa,Mali,Sivasspor,71,1
4549,K. Laribi,Tunisia,Empoli,71,1
4550,J. Gol,Poland,Cracovia,71,1
4551,S. Hierländer,Austria,SK Sturm Graz,71,1
4552,D. Villalva,Argentina,Tiburones Rojos de Veracruz,71,1
4553,H. Dalsgaard,Denmark,Brentford,71,1
4554,Camora,Portugal,CFR Cluj,71,1
4555,Park Joo Ho,South Korea,Ulsan Hyundai FC,71,1
4556,Botía,Spain,Al Hilal,71,1
4557,Kim Shin Wook,South Korea,Shanghai Greenland Shenhua FC,71,2
4558,Júnior Dutra,Brazil,Shimizu S-Pulse,71,1
4559,Welinton,Brazil,Alanyaspor,71,1
4560,Bóveda,Spain,Deportivo de La Coruña,71,1
4561,N. Obiora,Nigeria,Boavista FC,71,1
4562,M. Formica,Argentina,Newell's Old Boys,71,1
4563,Fontàs,Spain,Sporting Kansas City,71,1
4564,M. Barthelmé,France,ESTAC Troyes,71,1
4565,David Simão,Portugal,AEK Athens,71,1
4566,E. Prib,Russia,Hannover 96,71,2
4567,W. Mesloub,Algeria,Racing Club de Lens,71,1
4568,O. Jiménez,Mexico,Club América,71,1
4569,A. Gonçalves,France,Stade Malherbe Caen,71,1
4570,C. Santos,Venezuela,Deportivo de La Coruña,71,1
4571,S. Malone,United Kingdom,Derby County,71,1
4572,L. Nomenjanahary,Madagascar,Paris FC,71,1
4573,Fredy,Angola,Antalyaspor,71,1
4574,S. Hutchinson,United Kingdom,Millwall,71,1
4575,M. Coronel,Argentina,Gimnasia y Esgrima La Plata,71,1
4576,M. Correia,Portugal, SSV Jahn Regensburg,71,1
4577,Osmar,Spain,FC Seoul,71,2
4578,J. Colback,United Kingdom,Newcastle United,71,1
4579,A. Weimann,Austria,Bristol City,71,1
4580,C. Moritz,Germany,Hamburger SV,71,1
4581,L. Marrone,Italy,Hellas Verona,71,1
4582,G. Jara,Chile,Estudiantes de La Plata,71,2
4583,R. Varga,Hungary,Hungary,71,1
4584,Edgar Costa,Portugal,Clube Sport Marítimo,71,1
4585,M. Faraoni,Italy,Hellas Verona,71,1
4586,S. Motta,Colombia,La Equidad,71,1
4587,I. Baldé,Senegal,Real Oviedo,71,1
4588,A. El Said,Egypt,Egypt,71,1
4589,J. Sala,Italy,Sampdoria,71,1
